Date,"М1, t","М2, t","ΔМ, t","Т1, °C","Т2, °C","ΔТ, °C","Q, Gcal",USPD,YYYYMM,registrated,scheme,type,area,floors,walls material,year of construction,area of building,"temp,˚C"
2013/12/1,93.95,84.17,9.78,65.86,43.56,22.3,2.1,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-0.157916667
2013/12/2,91.28,81.69,9.59,65.18,42.87,22.31,2.04,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-1.259166667
2013/12/3,91.76,84.87,6.9,65.7,43.17,22.53,2.07,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-4.739166667
2013/12/4,88.79,79.92,8.87,65.26,42.23,23.03,2.05,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-1.21625
2013/12/5,89.37,81.5,7.87,65.47,42.22,23.25,2.08,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-0.53375
2013/12/6,88.51,79.92,8.59,66.41,42.64,23.77,2.11,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-5.465833333
2013/12/7,87.38,79.92,7.45,67.77,42.74,25.03,2.19,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-3.960833333
2013/12/8,89.95,83.21,6.74,70.59,44.28,26.3,2.37,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-5.01125
2013/12/9,88.95,80.16,8.78,70.75,44.16,26.59,2.37,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-7.282916667
2013/12/10,86.67,79.12,7.55,69.85,43.39,26.47,2.3,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-10.36541667
2013/12/11,84.39,76.94,7.45,69.67,42.68,26.99,2.28,1,201312,Heating + Hot water,opened,1105,2707.4,5,panel,1983,4401,-5.17375
